CounDist,BoroCD,AssemDist,the_geom,CongDist,StSenDist,SHELTER_ID,LOCATION,AT_BETWEEN,LONGITUDE,LATITUDE,AssetID,BoroCode,BoroName,Street,SegmentID,PhysicalID,NODEID
34,304,54,POINT (-73.92754899999994 40.69296900000006),7,18,BR0145,KOSSUTH PL,BROADWAY,-73.927549,40.692969,18,3,Brooklyn,KOSSUTH PLACE,0044672,99093,0
37,304,53,POINT (-73.91111499999994 40.69935300000003),7,18,BR0155,PALMETTO ST,WYCKOFF AV,-73.911115,40.699353,19,3,Brooklyn,PALMETTO STREET,0128598,66335,27962
33,301,53,POINT (-73.94232299999999 40.70086700000007),7,18,BR0157,BROADWAY,FLUSHING AV,-73.942323,40.700867,20,3,Brooklyn,BROADWAY,0292667,171229,27324
37,305,54,POINT (-73.87188999999995 40.68174000000005),7,18,BR0175,Atlantic Av,CRESCENT ST,-73.87189,40.68174,21,3,Brooklyn,ATLANTIC AVENUE,0157782,43366,77826
36,303,56,POINT (-73.94497999999999 40.686923000000036),8,25,BR02000,GATES AV,TOMPKINS AV,-73.94498,40.686923,22,3,Brooklyn,GATES AVENUE,9003426,68955,0
38,307,51,POINT (-74.01817899999998 40.64059800000007),7,20,BR02001,60 ST,4 AV,-74.018179,40.640598,23,3,Brooklyn,60 STREET,0161357,42295,0
38,307,49,POINT (-74.00973099999999 40.635695000000055),7,20,BR02003,60 ST,8 AV,-74.009731,40.635695,24,3,Brooklyn,60 STREET,0020579,42292,0
47,311,47,POINT (-73.99338899999998 40.602183000000025),11,23,BR02005,BAY PKWY,86 ST,-73.993389,40.602183,25,3,Brooklyn,BAY PARKWAY,0018909,51305,0
47,311,49,POINT (-73.99574399999995 40.61334700000003),10,22,BR02010,BAY RIDGE PKWY,18 AV,-73.995744,40.613347,26,3,Brooklyn,BAY RIDGE PARKWAY,0019978,37024,0
43,311,49,POINT (-73.99965899999995 40.61549800000006),10,22,BR02011,BAY RIDGE PKWY,NEW UTRECHT AV,-73.999659,40.615498,27,3,Brooklyn,BAY RIDGE PARKWAY,0019853,37022,0
43,311,46,POINT (-74.01356199999998 40.61084600000004),11,22,BR02012,14 AV,BENSON AV,-74.013562,40.610846,28,3,Brooklyn,14 AVENUE,0019391,42761,13179
47,311,47,POINT (-73.99374699999998 40.60216800000006),11,23,BR02014,BAY PKWY,86 ST,-73.993747,40.602168,29,3,Brooklyn,BAY PARKWAY,0018909,51305,0
48,313,46,POINT (-73.96876199999997 40.58000400000003),8,23,BR02015,NEPTUNE AV,OCEAN PKWY,-73.968762,40.580004,30,3,Brooklyn,NEPTUNE AVENUE,0151397,39820,0
48,313,45,POINT (-73.95978399999996 40.581814000000065),8,23,BR02016,Coney Island Av,NEPTUNE AV,-73.959784,40.581814,31,3,Brooklyn,CONEY ISLAND AVENUE,0025706,39316,16756
48,315,45,POINT (-73.96079999999995 40.59130600000003),11,22,BR02019,Coney Island Av,AV X,-73.9608,40.591306,32,3,Brooklyn,CONEY ISLAND AVENUE,0025773,39291,0
48,315,41,POINT (-73.94077999999996 40.59394700000007),9,19,BR02020,NOSTRAND AV,AV X,-73.94078,40.593947,33,3,Brooklyn,NOSTRAND AVENUE,9000656,44473,9002702
44,315,45,POINT (-73.96738299999998 40.605417000000045),11,22,BR02021,KINGS HWY,OCEAN PKWY,-73.967383,40.605417,34,3,Brooklyn,KINGS HIGHWAY,0163236,47724,0
46,315,41,POINT (-73.93753199999998 40.60098100000005),9,22,BR02022,AV U,COYLE ST,-73.937532,40.600981,35,3,Brooklyn,AVENUE U,0039852,45385,0
46,315,41,POINT (-73.93300599999998 40.60005800000005),9,22,BR02023,GERRITSEN AV,AV V,-73.933006,40.600058,36,3,Brooklyn,GERRITSEN AVENUE,0039967,48511,0
36,308,55,POINT (-73.93075599999997 40.67065400000007),9,20,BR02024,ST JOHNS PL,UTICA AV,-73.930756,40.670654,37,3,Brooklyn,ST JOHNS PLACE,9001894,69060,26865
41,308,55,POINT (-73.92316199999993 40.67023700000004),9,20,BR02025,ST JOHNS PL,RALPH AV,-73.923162,40.670237,38,3,Brooklyn,ST JOHNS PLACE,0043377,69058,0
42,305,60,POINT (-73.89484199999998 40.66935900000004),8,19,BR02026,Sutter Av,Pennsylvania Av,-73.894842,40.669359,39,3,Brooklyn,SUTTER AVENUE,0047549,71460,0
42,305,60,POINT (-73.89530299999996 40.66914200000008),8,19,BR02027,Pennsylvania Av,SUTTER AV,-73.895303,40.669142,40,3,Brooklyn,PENNSYLVANIA AVENUE,0047548,68120,0
42,305,60,POINT (-73.89406299999996 40.664333000000056),8,19,BR02029,Pennsylvania Av,LIVONIA AV,-73.894063,40.664333,41,3,Brooklyn,PENNSYLVANIA AVENUE,0047528,68117,0
46,315,41,POINT (-73.94168399999995 40.60052200000007),9,22,BR02031,AV U,NOSTRAND AV,-73.941684,40.600522,42,3,Brooklyn,AVENUE U,0039734,45380,0
48,315,45,POINT (-73.95586299999997 40.58771900000005),9,23,BR02032,AV Z,E 13 ST,-73.955863,40.587719,43,3,Brooklyn,AVENUE Z,0025932,43801,0
46,318,59,POINT (-73.90781799999996 40.619706000000065),8,19,BR02033,AV U,E 71 ST,-73.907818,40.619706,44,3,Brooklyn,AVENUE U,0041647,45428,0
41,309,43,POINT (-73.93201799999997 40.66362400000003),9,20,BR02034,EMPIRE BLVD,UTICA AV,-73.932018,40.663624,45,3,Brooklyn,EMPIRE BOULEVARD,0282829,165114,0
42,305,60,POINT (-73.86981799999995 40.67315400000007),8,19,BR02035,SUTTER AV,CRESCENT ST,-73.869818,40.673154,46,3,Brooklyn,SUTTER AVENUE,0050656,71488,0
42,305,60,POINT (-73.88846299999994 40.67031200000008),8,18,BR02036,SUTTER AV,HENDRIX ST,-73.888463,40.670312,47,3,Brooklyn,SUTTER AVENUE,0047818,71467,0
42,305,60,POINT (-73.89111399999996 40.66263900000007),8,19,BR02037,NEW LOTS AV,VERMONT ST,-73.891114,40.662639,48,3,Brooklyn,NEW LOTS AVENUE,0047642,74139,0
42,305,60,POINT (-73.87425999999994 40.66934100000003),8,19,BR02038,DUMONT AV,FOUNTAIN AV,-73.87426,40.669341,49,3,Brooklyn,DUMONT AVENUE,0048256,73009,0
37,305,54,POINT (-73.89703399999996 40.67827900000003),7,18,BR0204,JAMAICA AV,Pennsylvania Av,-73.897034,40.678279,50,3,Brooklyn,JAMAICA AVENUE,0047473,73669,29320
42,305,60,POINT (-73.89306599999998 40.661594000000036),8,19,BR02040,Pennsylvania Av,NEW LOTS AV,-73.893066,40.661594,51,3,Brooklyn,PENNSYLVANIA AVENUE,0047518,68115,0
42,305,60,POINT (-73.88139599999994 40.666855000000055),8,19,BR02041,NEW LOTS AV,ELTON ST,-73.881396,40.666855,52,3,Brooklyn,NEW LOTS AVENUE,0293972,172034,9045130
42,305,60,POINT (-73.88945899999999 40.66336800000005),8,19,BR02042,NEW LOTS AV,BRADFORD ST,-73.889459,40.663368,53,3,Brooklyn,NEW LOTS AVENUE,0047646,74137,0
45,314,42,POINT (-73.95257599999997 40.63339300000007),9,21,BR02043,GLENWOOD RD,BEDFORD AV,-73.952576,40.633393,54,3,Brooklyn,GLENWOOD ROAD,0028517,46711,0
46,318,59,POINT (-73.91764999999998 40.62456700000007),8,19,BR02045,RALPH AV,AV L,-73.91765,40.624567,55,3,Brooklyn,RALPH AVENUE,0041367,66857,0
46,318,59,POINT (-73.91368999999997 40.635384000000045),8,19,BR02046,FLATLANDS AV,E 80 ST,-73.91369,40.635384,56,3,Brooklyn,FLATLANDS AVENUE,0042660,48254,0
48,315,41,POINT (-73.94103599999994 40.58395000000007),8,23,BR02047,EMMONS AV,E 28 ST,-73.941036,40.58395,57,3,Brooklyn,EMMONS AVENUE,0157530,46988,0
34,301,50,POINT (-73.96001199999995 40.713715000000036),7,18,BR02048,DRIGGS AV,GRAND ST,-73.960012,40.713715,58,3,Brooklyn,DRIGGS AVENUE,0030792,45597,0
34,301,53,POINT (-73.94923099999994 40.71414200000004),12,18,BR02049,METROPOLITAN AV,LORIMER ST,-73.949231,40.714142,59,3,Brooklyn,METROPOLITAN AVENUE,0031274,46661,19880
35,302,57,POINT (-73.96065999999996 40.69037300000008),8,25,BR02050,DEKALB AV,CLASSON AV,-73.96066,40.690373,60,3,Brooklyn,DEKALB AVENUE,0030475,38194,0
35,302,57,POINT (-73.97809999999998 40.693520000000035),8,25,BR02051,MYRTLE AV BETWEEN EDWARDS ST & NAVY ST,BETWEEN EDWARDS ST & NAVY ST,-73.9781,40.69352,61,3,Brooklyn,MYRTLE AVENUE,0029914,43600,0
36,308,56,POINT (-73.93308599999995 40.675242000000026),9,25,BR02052,BERGEN ST,SCHENECTADY AV,-73.933086,40.675242,62,3,Brooklyn,BERGEN STREET,0043180,45817,26810
35,308,56,POINT (-73.93114399999996 40.67051100000003),9,20,BR02054,ST JOHNS PL,UTICA AV,-73.931144,40.670511,63,3,Brooklyn,ST JOHNS PLACE,0043166,69061,26865
36,308,56,POINT (-73.94136099999997 40.67742500000003),8,25,BR02055,KINGSTON AV,PACIFIC ST,-73.941361,40.677425,64,3,Brooklyn,KINGSTON AVENUE,0185897,48944,0
35,302,57,POINT (-73.97865999999993 40.687947000000065),8,25,BR02056,FULTON ST,@ ASHLAND PLACE,-73.97866,40.687947,65,3,Brooklyn,4 AVENUE LINE,8102770,0,9007852
32,409,38,POINT (-73.86605599999996 40.68310100000008),7,12,BR02059,Atlantic Av,ELDERT LANE,-73.866056,40.683101,66,4,Queens,ATLANTIC AVENUE,0152392,166915,0
37,305,54,POINT (-73.86609299999998 40.67859800000008),8,19,BR02060,GRANT AV,LIBERTY AV,-73.866093,40.678598,67,3,Brooklyn,GRANT AVENUE,0050839,90469,0
37,305,54,POINT (-73.87217099999998 40.68336700000003),7,18,BR02061,CRESCENT ST,FULTON ST,-73.872171,40.683367,68,3,Brooklyn,CRESCENT STREET,0168645,73925,0
36,303,56,POINT (-73.93585999999993 40.687985000000026),8,25,BR02064,GATES AV,LEWIS AV,-73.93586,40.687985,69,3,Brooklyn,GATES AVENUE,9001571,68951,9003318
36,303,54,POINT (-73.93741599999998 40.69304900000003),8,18,BR02066,DEKALB AV,LEWIS AV,-73.937416,40.693049,70,3,Brooklyn,DEKALB AVENUE,9000981,150691,9003118
35,302,57,POINT (-73.98339999999996 40.69989400000003),8,25,BR02068,SANDS ST,GOLD ST,-73.9834,40.699894,71,3,Brooklyn,SANDS STREET,0285402,166829,9041364
35,302,57,POINT (-73.96365199999997 40.69002800000004),8,25,BR02069,DEKALB AV,RYERSON ST,-73.963652,40.690028,72,3,Brooklyn,DEKALB AVENUE,0030469,38170,0
36,303,56,POINT (-73.94640299999998 40.69541700000008),8,18,BR02070,TOMPKINS AV,MYRTLE AV,-73.946403,40.695417,73,3,Brooklyn,TOMPKINS AVENUE,0031307,44627,0
39,306,52,POINT (-73.97325899999998 40.67784400000005),9,20,BR02071,7 AV,FLATBUSH AV,-73.973259,40.677844,74,3,Brooklyn,7 AVENUE,0029047,56350,18624
44,314,48,POINT (-73.96035499999994 40.61804900000004),9,17,BR02073,AV M,E 15 ST,-73.960355,40.618049,75,3,Brooklyn,AVENUE M,0027128,62808,0
35,302,50,POINT (-73.97271999999998 40.69331100000005),8,25,BR02074,MYRTLE AV,CARLTON AV,-73.97272,40.693311,76,3,Brooklyn,MYRTLE AVENUE,0030074,43593,9039621
36,308,56,POINT (-73.93588899999997 40.67539400000004),9,25,BR02076,BERGEN ST,TROY AV,-73.935889,40.675394,77,3,Brooklyn,BERGEN STREET,0043102,45816,26770
42,317,58,POINT (-73.91407299999997 40.65668900000003),9,20,BR02077,CHURCH AV,E 98 ST,-73.914073,40.656689,78,3,Brooklyn,CHURCH AVENUE,0042646,38514,0
45,317,42,POINT (-73.95097799999996 40.63851900000003),9,21,BR02078,FOSTER AV,ROGERS AV,-73.950978,40.638519,79,3,Brooklyn,FOSTER AVENUE,0028542,70393,18343
41,317,58,POINT (-73.92371999999995 40.656310000000076),9,20,BR02079,REMSEN AV,LENOX RD,-73.92372,40.65631,80,3,Brooklyn,REMSEN AVENUE,0042361,68608,0
42,316,55,POINT (-73.90877099999994 40.662315000000035),9,19,BR02080,ROCKAWAY AV,LIVONIA AV,-73.908771,40.662315,81,3,Brooklyn,ROCKAWAY AVENUE,0043976,70584,0
41,316,55,POINT (-73.91732799999994 40.668408000000056),9,20,BR02081,SARATOGA AV,PITKIN AV,-73.917328,40.668408,82,3,Brooklyn,SARATOGA AVENUE,0043719,89689,0
37,316,55,POINT (-73.90357899999998 40.67780700000003),8,18,BR02082,FULTON ST,VAN SINDEREN AV,-73.903579,40.677807,83,3,Brooklyn,FULTON STREET,0047170,39149,0
41,316,55,POINT (-73.91705999999994 40.67134000000004),9,25,BR02083,SARATOGA AV @ PARK PLACE,@ PARK PLACE,-73.91706,40.67134,84,3,Brooklyn,SARATOGA AVENUE,9002103,72852,9004414
41,316,55,POINT (-73.91373099999998 40.67519400000003),8,25,BR02084,Thomas Boyland St,DEAN ST,-73.913731,40.675194,85,3,Brooklyn,THOMAS S BOYLAND STREET,0043895,71127,0
42,316,60,POINT (-73.90718299999997 40.65615600000007),8,19,BR02085,ROCKAWAY AV,HEGEMAN AV,-73.907183,40.656156,86,3,Brooklyn,ROCKAWAY AVENUE,0167454,70588,26683
42,316,55,POINT (-73.90275399999996 40.66532300000006),8,19,BR02086,POWELL ST,DUMONT AV,-73.902754,40.665323,87,3,Brooklyn,POWELL STREET,9002464,71217,9005257
42,305,60,POINT (-73.89184099999994 40.66994600000004),8,19,BR02087,SUTTER AV,BRADFORD ST,-73.891841,40.669946,88,3,Brooklyn,SUTTER AVENUE,0047682,71463,0
42,305,60,POINT (-73.88138099999998 40.671489000000065),8,18,BR02088,SUTTER AV,ESSEX ST,-73.881381,40.671489,89,3,Brooklyn,SUTTER AVENUE,0048106,71475,0
42,305,60,POINT (-73.86961799999995 40.67305300000004),8,19,BR02089,SUTTER AV,CRESCENT ST,-73.869618,40.673053,90,3,Brooklyn,SUTTER AVENUE,0050656,71488,31229
44,314,48,POINT (-73.96485999999999 40.62487600000003),9,17,BR02090,AV J,CONEY ISLAND AV,-73.96486,40.624876,91,3,Brooklyn,AVENUE J,0026892,38101,0
44,312,48,POINT (-73.99296999999996 40.63432500000005),10,17,BR02092,13 AV,50 ST,-73.99297,40.634325,92,3,Brooklyn,13 AVENUE,0021243,43021,0
33,301,50,POINT (-73.94614199999995 40.73162700000006),12,18,BR02093,GREENPOINT AV,HUMBOLDT ST,-73.946142,40.731627,93,3,Brooklyn,GREENPOINT AVENUE,0035671,47245,0
33,301,50,POINT (-73.95419399999997 40.73044500000003),12,18,BR02094,MANHATTAN AV,GREENPOINT AV,-73.954194,40.730445,94,3,Brooklyn,MANHATTAN AVENUE,0035156,44544,0
34,301,53,POINT (-73.94014799999997 40.715978000000064),12,18,BR02095,KINGSLAND AV,SKILLMAN AV,-73.940148,40.715978,95,3,Brooklyn,KINGSLAND AVENUE,0065824,48885,40541
42,305,60,POINT (-73.88344999999998 40.66611000000006),8,19,BR02097,NEW LOTS AV BETWEEN ASHFORD ST & WARWICK S,BETWEEN ASHFORD ST & WARWICK S,-73.88345,40.66611,96,3,Brooklyn,NEW LOTS AVENUE,0110512,74126,65767
36,303,56,POINT (-73.93525099999994 40.67968600000006),8,25,BR02098,FULTON ST,LEWIS AV,-73.935251,40.679686,97,3,Brooklyn,FULTON STREET,0043109,39121,0
35,302,57,POINT (-73.98260499999998 40.69827600000008),8,25,BR02102,NASSAU ST,GOLD ST,-73.982605,40.698276,98,3,Brooklyn,NASSAU STREET,9005042,89616,0
35,302,57,POINT (-73.97940899999998 40.69342300000005),8,25,BR02103,MYRTLE AV,ASHLAND PL,-73.979409,40.693423,99,3,Brooklyn,MYRTLE AVENUE,0024599,43601,0
39,307,44,POINT (-73.97199299999994 40.64977700000003),9,21,BR02104,Coney Island Av,CATON  PL,-73.971993,40.649777,100,3,Brooklyn,CONEY ISLAND AVENUE,0028022,39261,0
33,302,57,POINT (-73.98321899999996 40.69968300000005),8,25,BR02105,SANDS ST,GOLD ST,-73.983219,40.699683,101,3,Brooklyn,SANDS STREET,0285446,166848,9041386
33,301,50,POINT (-73.96461299999999 40.70342900000003),7,18,BR02106,WYTHE AV,ROSS ST,-73.964613,40.703429,102,3,Brooklyn,WYTHE AVENUE,0261246,43526,0
39,306,51,POINT (-74.00280599999996 40.68460100000004),7,26,BR02107,COLUMBIA ST,UNION ST,-74.002806,40.684601,103,3,Brooklyn,COLUMBIA STREET,0021980,42776,0
36,303,56,POINT (-73.93036899999998 40.688998000000026),8,25,BR02108,MALCOLM X BLVD,QUINCY ST,-73.930369,40.688998,104,3,Brooklyn,MALCOLM X BOULEVARD,0044510,69698,0
33,302,52,POINT (-73.99041399999999 40.693351000000064),7,25,BR02111,COURT ST,MONTAGUE ST,-73.990414,40.693351,105,3,Brooklyn,COURT STREET,0196749,42699,108912
33,302,52,POINT (-73.99033999999995 40.693501000000026),7,25,BR02112,COURT ST,MONTAGUE ST,-73.99034,40.693501,106,3,Brooklyn,4 AVENUE LINE,8103935,0,0
34,301,53,POINT (-73.94408999999996 40.713269000000025),12,18,BR02113,GRAHAM AV,AINSLIE ST,-73.94409,40.713269,107,3,Brooklyn,GRAHAM AVENUE,0031425,45763,19959
37,304,53,POINT (-73.91167599999994 40.70017300000006),7,18,BR02115,GATES AV,WYCKOFF AV,-73.911676,40.700173,108,3,Brooklyn,GATES AVENUE,0045266,68978,0
43,313,47,POINT (-73.99046599999997 40.58881700000006),11,23,BR02116,CROPSEY AV,BAY 44 ST,-73.990466,40.588817,109,3,Brooklyn,CROPSEY AVENUE,0157763,42484,0
38,306,51,POINT (-74.00790499999994 40.67475600000006),7,25,BR02118,LORRAINE ST,COLUMBIA ST,-74.007905,40.674756,110,3,Brooklyn,LORRAINE STREET,9001332,53244,0
36,303,56,POINT (-73.93256999999994 40.68385600000005),8,25,BR02119,HALSEY ST,STUYVESANT AV,-73.93257,40.683856,111,3,Brooklyn,HALSEY STREET,0043219,79552,0
42,305,60,POINT (-73.87835099999995 40.64303700000005),8,19,BR02120,SEAVIEW AV,Pennsylvania Av,-73.878351,40.643037,112,3,Brooklyn,SEAVIEW AVENUE,0168149,71940,80132
42,305,60,POINT (-73.89318999999995 40.662154000000044),8,19,BR02121,Pennsylvania Av,NEW LOTS AV,-73.89319,40.662154,113,3,Brooklyn,PENNSYLVANIA AVENUE,0047516,68116,0
42,305,55,POINT (-73.89593399999995 40.67162300000007),8,19,BR02122,Pennsylvania Av,PITKIN AV,-73.895934,40.671623,114,3,Brooklyn,PENNSYLVANIA AVENUE,0047560,68122,0
37,305,54,POINT (-73.88689599999998 40.68324800000005),7,18,BR02123,JAMAICA AV,CLEVELAND ST,-73.886896,40.683248,115,3,Brooklyn,JAMAICA AVENUE,0047904,73681,0
47,313,46,POINT (-74.00318299999998 40.57711800000004),8,23,BR02124,37 ST,NEPTUNE AV,-74.003183,40.577118,116,3,Brooklyn,WEST 37 STREET,0018288,53131,0
45,314,42,POINT (-73.95566699999995 40.64068400000008),9,21,BR02125,FLATBUSH AV,AV D,-73.955667,40.640684,117,3,Brooklyn,FLATBUSH AVENUE,0028441,38715,18277
45,314,44,POINT (-73.96644099999997 40.63235700000007),9,17,BR02126,FOSTER AV,CONEY ISLAND AV,-73.966441,40.632357,118,3,Brooklyn,FOSTER AVENUE,0026931,39608,0
41,309,43,POINT (-73.93947299999996 40.65637300000003),9,20,BR02127,ALBANY AV,CLARKSON AV,-73.939473,40.656373,119,3,Brooklyn,ALBANY AVENUE,0293314,171626,0
40,309,43,POINT (-73.93975499999993 40.65755200000007),9,20,BR02128,ALBANY AV,WINTHROP ST,-73.939755,40.657552,120,3,Brooklyn,ALBANY AVENUE,0293313,171626,0
35,302,57,POINT (-73.96881799999994 40.68754800000005),8,25,BR02129,VANDERBILT AV,LAFAYETTE AV,-73.968818,40.687548,121,3,Brooklyn,VANDERBILT AVENUE,0029197,60508,0
35,302,57,POINT (-73.96862699999997 40.68657500000006),8,25,BR02130,VANDERBILT AV,GREENE AV,-73.968627,40.686575,122,3,Brooklyn,VANDERBILT AVENUE,0029197,60508,18715
37,305,54,POINT (-73.90005799999994 40.677152000000035),7,18,BR02132,JAMAICA AV,BROADWAY,-73.900058,40.677152,123,3,Brooklyn,BROADWAY,0262397,148548,0
37,304,53,POINT (-73.92379399999999 40.69977300000005),7,18,BR02136,DEKALB AV,WILSON AV,-73.923794,40.699773,124,3,Brooklyn,DEKALB AVENUE,0044876,72936,27750
37,304,53,POINT (-73.91967699999998 40.703963000000044),7,18,BR02137,DEKALB AV,WYCKOFF AV,-73.919677,40.703963,125,3,Brooklyn,DEKALB AVENUE,0045028,72934,0
48,315,45,POINT (-73.96092299999998 40.59825600000005),11,17,BR02140,AV U,CONEY ISLAND AV,-73.960923,40.598256,126,3,Brooklyn,AVENUE U,0025817,45343,0
48,315,45,POINT (-73.96054999999996 40.59188700000004),11,17,BR02141,Coney Island Av,AV X,-73.96055,40.591887,127,3,Brooklyn,CONEY ISLAND AVENUE,0025791,39290,0
48,315,41,POINT (-73.94314399999996 40.60763600000007),9,19,BR02142,NOSTRAND AV,AV R,-73.943144,40.607636,128,3,Brooklyn,NOSTRAND AVENUE,0127446,44466,75162
42,305,60,POINT (-73.89834499999995 40.668983000000026),8,19,BR02143,SUTTER AV,ALABAMA AV,-73.898345,40.668983,129,3,Brooklyn,SUTTER AVENUE,9002676,71456,9005417
41,316,55,POINT (-73.91116699999998 40.669696000000044),9,20,BR02144,PITKIN AV,ROCKAWAY AV,-73.911167,40.669696,130,3,Brooklyn,PITKIN AVENUE,0043865,70642,0
42,316,55,POINT (-73.90893799999998 40.66225600000007),9,19,BR02146,ROCKAWAY AV,LIVONIA AV,-73.908938,40.662256,131,3,Brooklyn,ROCKAWAY AVENUE,0043976,70584,0
34,304,53,POINT (-73.92578899999995 40.697734000000025),7,18,BR02147,DEKALB AV,MYRTLE AV,-73.925789,40.697734,132,3,Brooklyn,DEKALB AVENUE,0044695,72939,0
41,316,55,POINT (-73.90934099999998 40.66383300000007),9,20,BR02148,ROCKAWAY AV,DUMONT AV,-73.909341,40.663833,133,3,Brooklyn,ROCKAWAY AVENUE,9006851,70583,0
41,316,55,POINT (-73.92278899999997 40.666795000000036),9,20,BR02149,RALPH AV,EAST NEW YORK AV,-73.922789,40.666795,134,3,Brooklyn,RALPH AVENUE,9002595,68874,0
41,316,55,POINT (-73.91628399999996 40.66984300000007),9,20,BR02150,East New York Av,STRAUSS ST,-73.916284,40.669843,135,3,Brooklyn,EAST NEW YORK AVENUE,9002533,71999,9004459
41,316,55,POINT (-73.92291599999999 40.666923000000054),9,20,BR02151,East New York Av,RALPH AV,-73.922916,40.666923,136,3,Brooklyn,EAST NEW YORK AVENUE,9002593,68913,9003833
41,316,55,POINT (-73.91108399999996 40.67600900000008),8,25,BR02153,ROCKAWAY AV,ATLANTIC AV,-73.911084,40.676009,137,3,Brooklyn,ROCKAWAY AVENUE,0167626,70565,0
47,315,45,POINT (-73.97403299999996 40.590411000000074),11,22,BR02154,SHELL RD,AV X,-73.974033,40.590411,138,3,Brooklyn,MC DONALD AVENUE,0025163,61681,0
33,302,52,POINT (-73.97871599999996 40.68443800000006),8,25,BR02156,Atlantic Av,4 AV,-73.978716,40.684438,139,3,Brooklyn,ATLANTIC AVENUE,0022924,43136,0
36,303,56,POINT (-73.93547499999994 40.683520000000044),8,25,BR02157,HALSEY ST,LEWIS AV,-73.935475,40.68352,140,3,Brooklyn,HALSEY STREET,0043127,79553,0
42,316,60,POINT (-73.89944999999994 40.65909300000004),8,19,BR02158,NEW LOTS AV,VAN SINDEREN AV,-73.89945,40.659093,141,3,Brooklyn,NEW LOTS AVENUE,9009862,74155,9005366
37,305,55,POINT (-73.89665499999995 40.67588800000004),7,18,BR0216,Atlantic Av,Pennsylvania Av,-73.896655,40.675888,142,3,Brooklyn,ATLANTIC AVENUE,0157881,43304,0
42,305,60,POINT (-73.89295799999996 40.66197800000003),8,19,BR02161,NEW LOTS AV,Pennsylvania Av,-73.892958,40.661978,143,3,Brooklyn,NEW LOTS AVENUE,0231450,124652,29340
